time (min), RI signal
7.145,-0.001
7.14667,-0.001
7.14833,0
7.15,0
7.15167,-0.001
7.15333,-0.002
7.155,-0.003
7.15667,-0.003
7.15833,-0.003
7.16,-0.002
7.16167,-0.002
7.16333,0
7.165,-0.002
7.16667,-0.002
7.16833,-0.001
7.17,0
7.17167,-0.001
7.17333,-0.002
7.175,-0.003
7.17667,-0.002
7.17833,-0.001
7.18,0
7.18167,0
7.18333,-0.001
7.185,-0.003
7.18667,-0.004
7.18833,-0.005
7.19,-0.003
7.19167,-0.004
7.19333,-0.006
7.195,-0.006
7.19667,-0.007
7.19833,-0.006
7.2,-0.006
7.20167,-0.007
7.20333,-0.008
7.205,-0.008
7.20667,-0.006
7.20833,-0.006
7.21,-0.006
7.21167,-0.005
7.21333,-0.003
7.215,-0.003
7.21667,-0.004
7.21833,-0.002
7.22,-0.002
7.22167,-0.002
7.22333,0
7.225,0
7.22667,0
7.22833,0.001
7.23,0
7.23167,0
7.23333,0
7.235,0
7.23667,0
7.23833,0
7.24,-0.001
7.24167,0
7.24333,-0.001
7.245,-0.002
7.24667,-0.001
7.24833,-0.001
7.25,-0.001
7.25167,-0.002
7.25333,-0.002
7.255,-0.003
7.25667,-0.002
7.25833,-0.001
7.26,-0.001
7.26167,-0.001
7.26333,-0.001
7.265,-0.002
7.26667,-0.004
7.26833,-0.004
7.27,-0.004
7.27167,-0.003
7.27333,-0.004
7.275,-0.005
7.27667,-0.005
7.27833,-0.005
7.28,-0.005
7.28167,-0.004
7.28333,-0.004
7.285,-0.006
7.28667,-0.006
7.28833,-0.006
7.29,-0.007
7.29167,-0.006
7.29333,-0.006
7.295,-0.005
7.29667,-0.004
7.29833,-0.005
7.3,-0.006
7.30167,-0.003
7.30333,-0.002
7.305,-0.002
7.30667,-0.002
7.30833,-0.001
7.31,0
7.31167,-0.001
7.31333,-0.001
7.315,-0.004
7.31667,-0.004
7.31833,-0.004
7.32,-0.004
7.32167,-0.004
7.32333,-0.003
7.325,-0.004
7.32667,-0.004
7.32833,-0.002
7.33,-0.002
7.33167,-0.003
7.33333,-0.003
7.335,-0.001
7.33667,-0.001
7.33833,0
7.34,0
7.34167,0
7.34333,-0.001
7.345,-0.001
7.34667,0
7.34833,-0.003
7.35,-0.002
7.35167,-0.004
7.35333,-0.002
7.355,-0.002
7.35667,-0.002
7.35833,-0.002
7.36,-0.002
7.36167,-0.002
7.36333,-0.002
7.365,-0.002
7.36667,-0.001
7.36833,-0.001
7.37,0
7.37167,0
7.37333,0
7.375,0
7.37667,0
7.37833,-0.001
7.38,0
7.38167,-0.001
7.38333,-0.002
7.385,-0.002
7.38667,-0.003
7.38833,-0.005
7.39,-0.004
7.39167,-0.005
7.39333,-0.005
7.395,-0.005
7.39667,-0.006
7.39833,-0.006
7.4,-0.006
7.40167,-0.005
7.40333,-0.003
7.405,-0.005
7.40667,-0.005
7.40833,-0.005
7.41,-0.003
7.41167,-0.004
7.41333,-0.006
7.415,-0.007
7.41667,-0.006
7.41833,-0.005
7.42,-0.003
7.42167,-0.003
7.42333,-0.004
7.425,-0.005
7.42667,-0.003
7.42833,-0.004
7.43,-0.004
7.43167,-0.005
7.43333,-0.004
7.435,-0.003
7.43667,-0.002
7.43833,-0.002
7.44,-0.001
7.44167,0
7.44333,0
7.445,0.001
7.44667,0.001
7.44833,0.001
7.45,0.001
7.45167,0
7.45333,-0.001
7.455,-0.003
7.45667,-0.006
7.45833,-0.006
7.46,-0.006
7.46167,-0.005
7.46333,-0.003
7.465,-0.003
7.46667,-0.004
7.46833,-0.004
7.47,-0.005
7.47167,-0.005
7.47333,-0.003
7.475,-0.004
7.47667,-0.006
7.47833,-0.007
7.48,-0.005
7.48167,-0.005
7.48333,-0.006
7.485,-0.005
7.48667,-0.005
7.48833,-0.005
7.49,-0.004
7.49167,-0.003
7.49333,-0.002
7.495,-0.002
7.49667,-0.003
7.49833,-0.005
7.5,-0.006
7.50167,-0.006
7.50333,-0.005
7.505,-0.005
7.50667,-0.005
7.50833,-0.004
7.51,-0.005
7.51167,-0.005
7.51333,-0.006
7.515,-0.006
7.51667,-0.007
7.51833,-0.006
7.52,-0.005
7.52167,-0.006
7.52333,-0.007
7.525,-0.007
7.52667,-0.006
7.52833,-0.006
7.53,-0.005
7.53167,-0.004
7.53333,-0.005
7.535,-0.006
7.53667,-0.006
7.53833,-0.005
7.54,-0.006
7.54167,-0.005
7.54333,-0.003
7.545,-0.002
7.54667,-0.001
7.54833,-0.003
7.55,-0.004
7.55167,-0.003
7.55333,-0.002
7.555,-0.002
7.55667,-0.002
7.55833,-0.002
7.56,-0.003
7.56167,-0.002
7.56333,-0.002
7.565,-0.002
7.56667,-0.001
7.56833,-0.002
7.57,0
7.57167,0
7.57333,0
7.575,-0.001
7.57667,-0.001
7.57833,-0.003
7.58,-0.005
7.58167,-0.006
7.58333,-0.005
7.585,-0.006
7.58667,-0.006
7.58833,-0.005
7.59,-0.005
7.59167,-0.005
7.59333,-0.005
7.595,-0.003
7.59667,-0.002
7.59833,-0.002
7.6,-0.002
7.60167,-0.002
7.60333,-0.002
7.605,-0.002
7.60667,-0.002
7.60833,-0.002
7.61,-0.002
7.61167,-0.001
7.61333,-0.001
7.615,-0.001
7.61667,-0.003
7.61833,-0.002
7.62,-0.003
7.62167,-0.002
7.62333,-0.003
7.625,-0.003
7.62667,-0.001
7.62833,-0.002
7.63,-0.001
7.63167,-0.001
7.63333,-0.002
7.635,-0.005
7.63667,-0.005
7.63833,-0.004
7.64,-0.005
7.64167,-0.003
7.64333,-0.003
7.645,-0.003
7.64667,-0.004
7.64833,-0.003
7.65,-0.002
7.65167,-0.003
7.65333,-0.004
7.655,-0.002
7.65667,-0.004
7.65833,-0.005
7.66,-0.003
7.66167,-0.004
7.66333,-0.005
7.665,-0.005
7.66667,-0.005
7.66833,-0.004
7.67,-0.003
7.67167,-0.001
7.67333,-0.003
7.675,-0.003
7.67667,-0.002
7.67833,-0.005
7.68,-0.005
7.68167,-0.005
7.68333,-0.004
7.685,-0.002
7.68667,-0.003
7.68833,-0.003
7.69,-0.005
7.69167,-0.005
7.69333,-0.003
7.695,-0.003
7.69667,0
7.69833,0
7.7,-0.001
7.70167,-0.001
7.70333,0
7.705,0
7.70667,-0.001
7.70833,-0.002
7.71,-0.003
7.71167,-0.004
7.71333,-0.004
7.715,-0.005
7.71667,-0.005
7.71833,-0.004
7.72,-0.004
7.72167,-0.005
7.72333,-0.004
7.725,-0.003
7.72667,-0.001
7.72833,-0.001
7.73,0
7.73167,-0.001
7.73333,0
7.735,0
7.73667,-0.002
7.73833,-0.004
7.74,-0.003
7.74167,-0.002
7.74333,0
7.745,0.001
7.74667,0
7.74833,0
7.75,0.001
7.75167,0.002
7.75333,0.002
7.755,0.001
7.75667,0.001
7.75833,0
7.76,-0.001
7.76167,-0.001
7.76333,-0.001
7.765,-0.003
7.76667,-0.005
7.76833,-0.003
7.77,-0.004
7.77167,-0.003
7.77333,-0.003
7.775,-0.002
7.77667,-0.002
7.77833,-0.003
7.78,-0.004
7.78167,-0.004
7.78333,-0.005
7.785,-0.005
7.78667,-0.004
7.78833,-0.004
7.79,-0.004
7.79167,-0.005
7.79333,-0.002
7.795,-0.002
7.79667,-0.001
7.79833,0
7.8,0
7.80167,-0.001
7.80333,-0.004
7.805,-0.004
7.80667,-0.004
7.80833,-0.004
7.81,-0.004
7.81167,-0.004
7.81333,-0.005
7.815,-0.005
7.81667,-0.005
7.81833,-0.003
7.82,-0.003
7.82167,-0.003
7.82333,-0.003
7.825,-0.003
7.82667,-0.005
7.82833,-0.006
7.83,-0.005
7.83167,-0.004
7.83333,-0.003
7.835,-0.001
7.83667,0
7.83833,0
7.84,0
7.84167,0
7.84333,-0.001
7.845,-0.003
7.84667,-0.004
7.84833,-0.006
7.85,-0.006
7.85167,-0.003
7.85333,-0.002
7.855,-0.003
7.85667,-0.003
7.85833,-0.002
7.86,-0.003
7.86167,-0.004
7.86333,-0.003
7.865,-0.002
7.86667,-0.002
7.86833,0
7.87,0
7.87167,0
7.87333,-0.002
7.875,-0.003
7.87667,-0.005
7.87833,-0.005
7.88,-0.006
7.88167,-0.006
7.88333,-0.005
7.885,-0.004
7.88667,-0.003
7.88833,-0.004
7.89,-0.003
7.89167,-0.001
7.89333,-0.001
7.895,-0.002
7.89667,-0.003
7.89833,-0.005
7.9,-0.005
7.90167,-0.005
7.90333,-0.006
7.905,-0.006
7.90667,-0.006
7.90833,-0.006
7.91,-0.006
7.91167,-0.006
7.91333,-0.003
7.915,-0.003
7.91667,-0.002
7.91833,-0.002
7.92,-0.002
7.92167,-0.004
7.92333,-0.005
7.925,-0.003
7.92667,-0.002
7.92833,-0.002
7.93,-0.002
7.93167,-0.003
7.93333,-0.002
7.935,0
7.93667,0
7.93833,0.001
7.94,0.001
7.94167,0
7.94333,-0.001
7.945,-0.003
7.94667,-0.003
7.94833,-0.004
7.95,-0.004
7.95167,-0.004
7.95333,-0.003
7.955,-0.003
7.95667,-0.002
7.95833,-0.001
7.96,-0.003
7.96167,-0.002
7.96333,-0.003
7.965,-0.003
7.96667,-0.003
7.96833,0
7.97,0.001
7.97167,-0.001
7.97333,0
7.975,-0.002
7.97667,-0.002
7.97833,-0.001
7.98,-0.001
7.98167,-0.002
7.98333,0
7.985,-0.001
7.98667,-0.002
7.98833,-0.003
7.99,-0.002
7.99167,-0.002
7.99333,0
7.995,0
7.99667,0
7.99833,-0.001
8,-0.001
8.00167,0
8.00333,0
8.005,0
8.00667,0.001
8.00833,0.001
8.01,0.002
8.01167,0.001
8.01333,0
8.015,0
8.01667,0.001
8.01833,0.002
8.02,0.001
8.02167,0.001
8.02333,0.001
8.025,0.001
8.02667,0
8.02833,0
8.03,0
8.03167,-0.001
8.03333,0
8.035,0.001
8.03667,0.001
8.03833,0
8.04,0
8.04167,-0.002
8.04333,-0.005
8.045,-0.004
8.04667,-0.005
8.04833,-0.004
8.05,-0.002
8.05167,-0.002
8.05333,-0.002
8.055,-0.002
8.05667,-0.002
8.05833,-0.002
8.06,-0.002
8.06167,0
8.06333,0.002
8.065,0.001
8.06667,0
8.06833,-0.001
8.07,-0.001
8.07167,0
8.07333,-0.001
8.075,-0.001
8.07667,0
8.07833,0.001
8.08,0.002
8.08167,0
8.08333,0.002
8.085,0.002
8.08667,0.001
